ลำดับ,คำถาม,คำตอบ,คีเวดหลัก,คำที่มีโอกาสพิมพ์ผิด,หมายเหตุ
145,อ้างอิงราชกิจจานุเบกษา ต้องใส่เล่มกับตอนที่ด้วยป่าว,ต้องใส่ครับ รูปแบบคือ เล่ม ตอนที่ วัน เดือน ปีที่ประกาศใช้ : เลขหน้า,"ราชกิจจานุเบกษา, เล่ม, ตอนที่, อ้างอิง","ราชกิจจา, เล่มที่, ตอนที่",บทที่ 3 หน้า 34
146,อ้างอิงวิทยานิพนธ์คนอื่น ต้องบอกไหมว่าเป็น ป.โท หรือ ป.เอก,ต้องระบุระดับปริญญาครับ เช่น วิทยานิพนธ์วิศวกรรมศาสตรมหาบัณฑิต หรือ ปริญญานิพนธ์การศึกษาดุษฎีบัณฑิต,"อ้างอิงวิทยานิพนธ์, ระดับปริญญา, ระดับวิทยานิพนธ์","อ้างอิงวิจัย, ป.โท, ป.เอก, บอกระดับไหม",บทที่ 3 หน้า 34
147,ถ้าเอาข้อมูลมาจากการสัมภาษณ์ เขียนอ้างอิงยังไงคะ,"ให้ระบุชื่อผู้ให้สัมภาษณ์ ตำแหน่ง (ถ้ามี) คำว่า ""สัมภาษณ์"" และ วัน เดือน ปีที่สัมภาษณ์","อ้างอิงสัมภาษณ์, การสัมภาษณ์, วันที่สัมภาษณ์","อ้างอิงสัมภาษ, เขียนสัมภาษณ์",บทที่ 3 หน้า 36
148,อ้างอิงข่าวจากหนังสือพิมพ์ ต้องใส่เลขหน้าด้วยป่าว,ต้องใส่เลขหน้าของหนังสือพิมพ์ที่ตีพิมพ์ข่าวหรือบทความนั้นด้วย,"อ้างอิงหนังสือพิมพ์, ข่าว, เลขหน้า","อ้างอิงข่าว, นสพ, ใส่หน้าไหม",บทที่ 3 หน้า 37
149,ถ้าจะอ้างอิงสิทธิบัตร ต้องใส่เลขสิทธิบัตรไหม,ต้องใส่เลขที่สิทธิบัตร และ วัน เดือน ปีที่ได้รับการจดสิทธิบัตรด้วย,"อ้างอิงสิทธิบัตร, เลขที่สิทธิบัตร, Patent","สิทธิบัตร, อ้างอิงยังไง, ใส่เลขไหม",บทที่ 3 หน้า 42
150,อ้างอิงแผนที่ ต้องบอกมาตราส่วนด้วยไหมคะ,"ต้องระบุมาตราส่วนของแผนที่ด้วยครับ เช่น มาตราส่วน 1 : 50,000","อ้างอิงแผนที่, มาตราส่วน","แผนที่, มาตราส่วน, อ้างอิง",บทที่ 3 หน้า 43
151,ยศตำรวจ ทหาร เช่น พล.ต.อ. ต้องใส่ในบรรณานุกรมไหม,ไม่ต้องระบุยศ ตำแหน่ง หรือคำนำหน้าชื่อครับ ให้เขียนชื่อและนามสกุลได้เลย,"คำนำหน้าชื่อ, ยศ, บรรณานุกรม, ตำแหน่ง","ใส่ยศไหม, คำนำหน้า, พล.ต.อ.",บทที่ 3 หน้า 31
152,ถ้าผู้แต่งเป็นพระ มีสมณศักดิ์ เขียนบรรณานุกรมยังไง,"ให้ใส่สมณศักดิ์ไว้ข้างหลังชื่อ โดยคั่นด้วยเครื่องหมายจุลภาค (,) ","ผู้แต่งเป็นพระ, สมณศักดิ์, บรรณานุกรม","พระสงฆ์, สมณศักดิ์, เขียนยังไง",บทที่ 3 หน้า 30
153,ใช้นามแฝงนักเขียนในบรรณานุกรมได้ไหมคะ,ใช้ได้ครับ โดยเขียนนามแฝงลงไปได้เลยโดยไม่ต้องตัดคำนำหน้าออก เช่น ว.วินิจฉัยกุล,"นามแฝง, นามปากกา, บรรณานุกรม","นามแฝง, นามปากกา, อ้างอิง",บทที่ 3 หน้า 31
154,อ้างอิงบทความจากสารานุกรม ต้องบอกไหมว่าอยู่เล่มที่เท่าไหร่,ต้องระบุเล่มที่ และเลขหน้าของบทความในสารานุกรมนั้นด้วย,"อ้างอิงสารานุกรม, เล่มที่, เลขหน้า","สารานุกรม, อ้างอิงยังไง, ใส่เล่มไหม",บทที่ 3 หน้า 37
155,อ้างอิงเอกสารงานประชุมวิชาการ ต้องมีชื่อบรรณาธิการไหม,ถ้าเอกสารนั้นมีชื่อบรรณาธิการหรือผู้รวบรวม ให้ระบุลงไปด้วย,"งานประชุมวิชาการ, Proceedings, บรรณาธิการ","ประชุมวิชาการ, อ้างอิงงานประชุม, ใส่ชื่อ บก ไหม",บทที่ 3 หน้า 38
156,อ้างอิง มอก. ต้องระบุเลขที่ มอก. ป่าว,ต้องระบุชื่อมาตรฐาน และเลขที่ มอก. พร้อมปีที่ออกประกาศ,"อ้างอิง มอก., มาตรฐานผลิตภัณฑ์อุตสาหกรรม, เลขที่ มอก.","อ้างอิง มอก, มาตรฐานอุตสาหกรรม, ใส่เลขไหม",บทที่ 3 หน้า 45
157,อ้างอิงแบบตัวเลข [1] ถ้าอ้างซ้ำเล่มเดิม ต้องรันเลขใหม่ไหม,ไม่ต้องรันใหม่ครับ ในกรณีที่มีการอ้างอิงซ้ำ ให้ใช้ตัวเลขเดิมที่เคยใช้อ้างอิงมาก่อนแล้วได้เลย,"อ้างอิงแบบตัวเลข, อ้างอิงซ้ำ, ตัวเลขเดิม","อ้างอิงซ้ำ, รันเลขใหม่, แบบตัวเลข",บทที่ 3 หน้า 26
158,อ้างอิงแบบตัวเลข ต้องเรียงเลขยังไง,ตัวเลขจะต้องเรียงลำดับตั้งแต่เลข 1 เป็นต้นไปจนจบเล่ม ตามลำดับการอ้างอิงในเนื้อหา,"อ้างอิงแบบตัวเลข, การเรียงลำดับ, ตัวเลข","เรียงเลขยังไง, แบบตัวเลข, รันเลข",บทที่ 3 หน้า 26
159,อ้างอิงแบบนาม-ปี ถ้ามีชื่อคนแต่งในประโยคแล้ว ในวงเล็บต้องใส่อะไร,ให้ระบุเฉพาะปีที่พิมพ์และเลขหน้าที่อ้างอิง (ถ้ามี) ไว้ในวงเล็บ,"อ้างอิงแบบนาม-ปี, ชื่อผู้แต่งในประโยค, ปีที่พิมพ์, เลขหน้า","อ้างอิงนามปี, ใส่อะไรในวงเล็บ, มีชื่อแล้ว",บทที่ 3 หน้า 23
160,ผู้แต่ง 2 คน ในเนื้อหาอิงลิช ใช้ and หรือ & คะ,"ให้ใช้คำว่า ""and"" ในการเชื่อมชื่อผู้แต่ง","ผู้แต่ง 2 คน, อ้างอิงภาษาอังกฤษ, and, &","อิงลิช, ผู้แต่งสองคน, ใช้ and หรือ &",บทที่ 3 หน้า 28
161,ส่งไฟล์วิทยานิพนธ์ลงแผ่นซีดี ต้องเซฟเป็นไฟล์นามสกุลอะไรบ้างคะ,ต้องบันทึกข้อมูลเป็นไฟล์ .doc และ .pdf ,"ไฟล์วิทยานิพนธ์, แผ่นซีดี, นามสกุลไฟล์, .doc, .pdf","ไฟล์งาน, แผ่น CD, เซฟไฟล์",ภาคผนวก ข หน้า 127
162,ไฟล์หน้าปกวิทยานิพนธ์ต้องตั้งชื่อไฟล์ว่าอะไร,ตั้งชื่อไฟล์ว่า 01_cov.doc ,"ชื่อไฟล์, ปกวิทยานิพนธ์, 01_cov.doc","ไฟล์ปก, ตั้งชื่อไฟล์, หน้าปก",ภาคผนวก ข หน้า 127
163,ไฟล์บทคัดย่อต้องตั้งชื่อไฟล์ว่าอะไรคะ,ทั้งบทคัดย่อภาษาไทยและภาษาอังกฤษ ให้อยู่ในไฟล์เดียวกัน ตั้งชื่อว่า 02_abs.doc ,"ชื่อไฟล์, บทคัดย่อ, 02_abs.doc","ไฟล์บทคัดย่อ, ตั้งชื่อไฟล์",ภาคผนวก ข หน้า 127
164,ไฟล์กิตติกรรมประกาศต้องตั้งชื่อไฟล์ว่ายังไง,ตั้งชื่อไฟล์ว่า 03_ack.doc ,"ชื่อไฟล์, กิตติกรรมประกาศ, 03_ack.doc","ไฟล์กิตติกรรม, ตั้งชื่อไฟล์",ภาคผนวก ข หน้า 127
165,ไฟล์สารบัญ สารบัญตาราง สารบัญภาพ ต้องแยกไฟล์ไหม ตั้งชื่อว่าอะไร,ให้อยู่ในไฟล์เดียวกันทั้งหมด และตั้งชื่อไฟล์ว่า 04_tbc.doc ,"ชื่อไฟล์, สารบัญ, สารบัญตาราง, สารบัญภาพ, 04_tbc.doc","ไฟล์สารบัญ, สารบัญรูป, ตั้งชื่อไฟล์",ภาคผนวก ข หน้า 127
166,ไฟล์เนื้อหาบทที่ 1 ถึงบทที่ 5 ต้องตั้งชื่อไฟล์ยังไง,"ตั้งชื่อไฟล์ตามบทครับ เช่น บทที่ 1 คือ 05_ch1.doc, บทที่ 2 คือ 05_ch2.doc เรียงไปเรื่อยๆ ","ชื่อไฟล์, เนื้อหา, บทที่ 1, บทที่ 5, 05_ch1.doc","ไฟล์บทที่, ตั้งชื่อไฟล์, เนื้อหางานวิจัย",ภาคผนวก ข หน้า 127
167,ไฟล์บรรณานุกรมหรือเอกสารอ้างอิง ตั้งชื่อไฟล์ว่าอะไร,ตั้งชื่อไฟล์ว่า 06_ref.doc,"ชื่อไฟล์, บรรณานุกรม, เอกสารอ้างอิง, 06_ref.doc","ไฟล์อ้างอิง, ตั้งชื่อไฟล์, บันนานุกรม",ภาคผนวก ข หน้า 127
168,ไฟล์ภาคผนวกตั้งชื่อไฟล์ว่าอะไรคะ,"ตั้งชื่อตามจำนวนภาคผนวกครับ เช่น ภาคผนวก ก คือ 07_app1.doc, ภาคผนวก ข คือ 07_app2.doc ","ชื่อไฟล์, ภาคผนวก, 07_app1.doc","ไฟล์ภาคผนวก, ตั้งชื่อไฟล์",ภาคผนวก ข หน้า 127
169,ไฟล์ประวัติผู้วิจัย ตั้งชื่อไฟล์ว่ายังไง,ตั้งชื่อไฟล์ว่า 08_bio.doc ,"ชื่อไฟล์, ประวัติผู้วิจัย, 08_bio.doc","ไฟล์ประวัติ, ตั้งชื่อไฟล์, ประวัติคนทำ",ภาคผนวก ข หน้า 127
170,หน้าปกกล่องซีดีวิทยานิพนธ์ต้องเขียนรายละเอียดอะไรบ้าง,ต้องระบุ ชื่อนักศึกษา รหัสประจำตัว ชื่อวิทยานิพนธ์ ชื่อปริญญา สาขาวิชา และปีการศึกษาที่สำเร็จการศึกษา,"หน้าปกซีดี, กล่องซีดี, รายละเอียดปกซีดี","ปก CD, หน้าปกแผ่น, ข้อมูลหน้าปก",ภาคผนวก ข หน้า 127
171,แผ่นซีดีที่ใช้ส่งวิทยานิพนธ์ต้องเป็นแผ่นแบบไหน ความจุเท่าไหร่,ใช้แผ่นซีดีแบบ CD-R 700MB/80MIN ขนาด 12 เซนติเมตร,"แผ่นซีดี, CD-R, ความจุซีดี, ขนาดซีดี","แผ่น CD, ซีดีอาร์, ซีดีเปล่า",ภาคผนวก ข หน้า 127
172,พิมพ์ชื่อกับนามสกุล ต้องเว้นวรรคกี่เคาะคะ,ให้เว้นวรรคเล็ก คือเว้นระยะห่าง 1 เคาะ,"เว้นวรรค, ชื่อสกุล, 1 เคาะ, เว้นวรรคเล็ก","เว้นเคาะ, เคาะสเปซบาร์, พิมพ์ชื่อ",บทที่ 3 หน้า 17
173,หลังเครื่องหมายไปยาลใหญ่ (ฯลฯ) ต้องเว้นวรรคไหม,ต้องเว้นวรรคเล็ก (1 เคาะ) ทั้งหน้าและหลังเครื่องหมายไปยาลใหญ่,"เว้นวรรค, ไปยาลใหญ่, ฯลฯ, 1 เคาะ","เครื่องหมาย ฯลฯ, เว้นหน้าหลัง",บทที่ 3 หน้า 17
174,จบประโยคแล้ว ต้องเว้นวรรคกี่เคาะ,ให้เว้นวรรคใหญ่ คือเว้นระยะห่าง 2 เคาะ,"เว้นวรรค, จบประโยค, 2 เคาะ, เว้นวรรคใหญ่","เว้นเคาะ, จบพารากราฟ, เคาะสองที",บทที่ 3 หน้า 17
175,คำนำหน้าชื่อที่เป็นยศ เช่น พลเรือเอก ต้องเว้นวรรคก่อนพิมพ์ชื่อไหม,ต้องเว้นวรรคเล็ก (1 เคาะ) ระหว่างยศกับชื่อครับ เช่น พลเรือเอก สงัด,"เว้นวรรค, ยศ, คำนำหน้าชื่อ, 1 เคาะ","เว้นเคาะ, พิมพ์ยศ, ใส่ยศ",บทที่ 3 หน้า 17
176,คำนำหน้าชื่อทั่วไป เช่น นาย นาง นางสาว ต้องเว้นวรรคก่อนชื่อไหม,ไม่ต้องเว้นวรรคครับ ให้พิมพ์ติดกับชื่อได้เลย เช่น นายสมศักดิ์,"เว้นวรรค, คำนำหน้าชื่อ, นาย, นาง, นางสาว","เว้นเคาะ, พิมพ์นาย, พิมพ์นางสาว",บทที่ 3 หน้า 17
177,"พิมพ์หัวตาราง คำว่า ""ตารางที่"" ต้องใช้ฟอนต์แบบไหนคะ",ให้พิมพ์ตัวอักษรตัวหนา (Bold) คำว่าตารางที่และเลขที่ตารางครับ เช่น ตารางที่ 1-1,"ตารางที่, ตัวหนา, ฟอนต์ตาราง, Bold","หัวตาราง, คำว่าตาราง, ตัวทึบ",บทที่ 3 หน้า 20
178,ถ้าชื่อตารางยาวเกิน 1 บรรทัด บรรทัดที่สองต้องพิมพ์ยังไง,ให้พิมพ์ตัวอักษรตัวแรกของบรรทัดถัดไปให้ตรงกับตัวอักษรตัวแรกของชื่อตารางครับ (เว้น 2 เคาะจากเลขตาราง),"ชื่อตารางยาว, บรรทัดที่สอง, การจัดรูปแบบตาราง","ตารางยาว, ชื่อตารางสองบรรทัด, พิมพ์ชื่อตาราง",บทที่ 3 หน้า 20
179,ถ้าตารางมีขนาดใหญ่มากจนล้นหน้ากระดาษ ทำยังไงได้บ้าง,ควรย่อขนาดลงโดยใช้เครื่องถ่ายเอกสารหรือวิธีอื่น แต่ต้องชัดเจนและอ่านได้ง่าย,"ตารางขนาดใหญ่, ย่อขนาดตาราง, ตารางล้นหน้า","ตารางใหญ่ไป, ย่อตาราง, ตารางตกขอบ",บทที่ 3 หน้า 20-21
180,ตารางยาวจนต้องขึ้นหน้าใหม่ ต้องพิมพ์หัวตารางยังไงคะ,ให้พิมพ์เลขที่ตารางแล้วตามด้วยคำว่า (ต่อ) ในวงเล็บ เช่น ตารางที่ 1-1 (ต่อ) โดยไม่ต้องใส่ชื่อตารางครับ แต่ต้องคัดลอกหัวตารางมาด้วย,"ตารางขึ้นหน้าใหม่, ตารางต่อ, ตารางที่ (ต่อ)","ตารางยาว, ต่อตารางหน้าใหม่, หัวตาราง",บทที่ 3 หน้า 21
181,คำอธิบายภาพประกอบ ต้องพิมพ์ไว้ตรงไหน,ให้พิมพ์เลขที่ภาพและชื่อภาพกำกับไว้ใต้ภาพประกอบ ตรงกลางหน้ากระดาษ,"คำอธิบายภาพ, ชื่อภาพ, ตำแหน่งชื่อภาพ, ใต้ภาพ","ชื่อรูป, คำอธิบายรูป, ใส่ชื่อรูปตรงไหน",บทที่ 3 หน้า 21
182,ภาพประกอบในเล่มเป็นสี พิมพ์ขาวดำส่งได้ไหมคะ,ไม่ได้ครับ ภาพประกอบที่เป็นภาพสี จะต้องพิมพ์เป็นภาพสีลงบนกระดาษขาวให้ชัดเจน,"ภาพประกอบ, ภาพสี, พิมพ์สี, รูปภาพ","ปริ้นสี, ปริ้นขาวดำ, รูปสี",บทที่ 3 หน้า 21
183,เอารูปถ่ายมาติดกาวในเล่มวิทยานิพนธ์ได้ไหม,ไม่ได้ครับ ห้ามใช้วิธีการติดภาพด้วยกาวหรือวัสดุอื่น จะต้องพิมพ์เป็นภาพลงบนกระดาษให้ชัดเจน,"ติดรูปภาพ, ติดกาว, พิมพ์ภาพ, รูปถ่าย","แปะรูป, ติดรูป, เอารูปมาแปะ",บทที่ 3 หน้า 21
184,พิมพ์สมการคณิตศาสตร์ ต้องใส่เลขสมการไว้ตรงไหนคะ,ให้พิมพ์เลขสมการด้วยตัวอักษรธรรมดา ชิดขอบกระดาษด้านขวา และใส่วงเล็บ เช่น (1-1) ,"สมการ, เลขสมการ, ตำแหน่งเลขสมการ, ชิดขวา","สูตรเลข, เลขสูตร, ใส่เลขสมการ",บทที่ 3 หน้า 21
185,ถ้าคัดลอกข้อความมาอ้างอิงสั้นๆ ไม่เกิน 3 บรรทัด พิมพ์ยังไง,"ให้พิมพ์ต่อไปในเนื้อหาได้เลยโดยไม่ต้องขึ้นบรรทัดใหม่ แต่ต้องใส่ไว้ในเครื่องหมายอัญประกาศ ("" "") ","คัดลอกข้อความ, อ้างอิงตรง, อัญประกาศ, ไม่เกิน 3 บรรทัด","ก๊อปข้อความ, ใส่ฟันหนู, ยกข้อความมา",บทที่ 3 หน้า 22
186,ถ้าคัดลอกข้อความมายาวเกิน 3 บรรทัด ต้องจัดหน้ายังไง,"ให้ขึ้นบรรทัดใหม่ พิมพ์แยกจากเนื้อหาโดยย่อหน้าเข้ามาให้เสมอกัน และไม่ต้องใส่เครื่องหมายอัญประกาศ ("" "") ","คัดลอกข้อความยาว, อ้างอิงเกิน 3 บรรทัด, ย่อหน้า","ก๊อปมายาว, ยกข้อความยาว, จัดหน้าข้อความ",บทที่ 3 หน้า 22
187,ถ้าตัดข้อความที่คัดลอกมาบางส่วนทิ้งไป ต้องใช้เครื่องหมายอะไรแทน,ให้ใช้เครื่องหมายจุด 3 จุด (...) แทนข้อความที่ละไว้,"ละข้อความ, ตัดข้อความ, จุด 3 จุด, เครื่องหมายละ","ตัดคำ, ตัดประโยค, ใส่จุดๆๆ",บทที่ 3 หน้า 23
188,อ้างอิงแบบนาม-ปี ถ้าผู้แต่งเป็นคนไทย ต้องใส่นามสกุลในวงเล็บไหม,ไม่ต้องครับ เอกสารอ้างอิงภาษาไทย ให้ขึ้นต้นด้วยชื่อต้นเท่านั้น โดยไม่ต้องใส่ชื่อสกุล,"อ้างอิงนาม-ปี, ผู้แต่งคนไทย, ชื่อต้น, นามสกุล","อ้างอิงชื่อคนไทย, ใส่นามสกุลไหม, นามปี",บทที่ 3 หน้า 22
189,อ้างอิงแบบนาม-ปี ผู้แต่งต่างชาติ ต้องใส่ชื่อต้นเขาไหมคะ,ไม่ต้องครับ เอกสารอ้างอิงภาษาต่างประเทศ ให้ระบุเฉพาะชื่อสกุล (นามสกุล) เท่านั้น,"อ้างอิงนาม-ปี, ผู้แต่งต่างชาติ, นามสกุลต่างชาติ","อ้างอิงฝรั่ง, ชื่อฝรั่ง, ใส่นามสกุลฝรั่ง",บทที่ 3 หน้า 22
190,ถ้าอ้างอิงงานของผู้แต่งคนเดียวกัน ที่ตีพิมพ์ในปีเดียวกันหลายเล่ม ทำยังไง,"ให้ใส่ตัวอักษร ก, ข, ค กำกับไว้ที่ปีที่พิมพ์ (สำหรับภาษาไทย) หรือ a, b, c (สำหรับภาษาอังกฤษ) ครับ เช่น (ศักดิ์, 2512 ก)","อ้างอิงผู้แต่งคนเดียวกัน, ปีเดียวกัน, ก ข ค, a b c","อ้างซ้ำปีเดียวกัน, คนแต่งคนเดิม, ปีซ้ำกัน",บทที่ 3 หน้า 24
191,"คำว่า ""บรรณานุกรม"" กลางหน้ากระดาษ ใช้ฟอนต์ขนาดเท่าไหร่คะ",ใช้ฟอนต์ขนาด 20 พอยต์ ตัวหนา (Bold) ,"บรรณานุกรม, ขนาดฟอนต์, 20 พอยต์, ตัวหนา","บันนานุกรม, ขนาดตัวอักษร, หัวข้อบรรณานุกรม",บทที่ 3 หน้า 24
192,การพิมพ์บรรณานุกรม บรรทัดที่ 2 ของแต่ละรายการ ต้องย่อหน้าเท่าไหร่,ให้ย่อหน้าเว้นระยะเข้ามา 1.5 เซนติเมตร (0.59 นิ้ว) ,"บรรณานุกรม, ย่อหน้าบรรณานุกรม, 1.5 เซนติเมตร","บันนานุกรม, ย่อหน้าบรรทัดสอง, เคาะย่อหน้า",บทที่ 3 หน้า 24
193,เขียนบรรณานุกรม ผู้แต่งชาวต่างชาติ ต้องเรียงชื่อยังไง,"ให้พิมพ์ชื่อสกุล (นามสกุล) ขึ้นก่อน ตามด้วยเครื่องหมายจุลภาค (,) แล้วตามด้วยชื่อต้นและชื่อกลาง (ถ้ามี) ","บรรณานุกรม, ผู้แต่งต่างชาติ, ชื่อสกุล, นามสกุลขึ้นก่อน","ชื่อฝรั่ง, เขียนชื่อฝรั่ง, เรียงชื่อฝรั่ง",บทที่ 3 หน้า 24
194,เขียนบรรณานุกรม ผู้แต่งคนไทย ต้องเอานามสกุลขึ้นก่อนไหม,ไม่ต้องครับ ให้พิมพ์ชื่อต้นก่อน แล้วตามด้วยนามสกุลตามปกติเลย,"บรรณานุกรม, ผู้แต่งคนไทย, ชื่อต้น, นามสกุล","ชื่อคนไทย, เขียนชื่อคนไทย, เรียงชื่อคนไทย",บทที่ 3 หน้า 24
195,ถ้าเอกสารมีผู้แต่ง 4 คนขึ้นไป เขียนในบรรณานุกรมยังไงคะ,"ให้ลงชื่อผู้แต่งคนแรก แล้วตามด้วยคำว่า ""และคนอื่นๆ"" หรือ ""และคณะ"" (ภาษาอังกฤษใช้ et al. หรือ and others) ","บรรณานุกรม, ผู้แต่ง 4 คนขึ้นไป, และคณะ, et al.","ผู้แต่งหลายคน, เขียนชื่อผู้แต่งเยอะๆ, และคนอื่น",บทที่ 3 หน้า 25
196,หนังสือที่ไม่ปรากฏสถานที่พิมพ์ ในบรรณานุกรมให้ระบุว่าอะไร,ให้ระบุคำว่า (ม.ป.ท.) สำหรับภาษาไทย หรือ (n.p.) สำหรับภาษาอังกฤษ,"ไม่ปรากฏสถานที่พิมพ์, ม.ป.ท., n.p., บรรณานุกรม","ไม่มีที่พิมพ์, ไม่บอกที่พิมพ์, ใส่ มปท",บทที่ 3 หน้า 25
197,หนังสือที่ไม่ปรากฏปีที่พิมพ์ ในบรรณานุกรมให้ระบุว่าอะไรคะ,ให้ระบุคำว่า (ม.ป.ป.) สำหรับภาษาไทย หรือ (n.d.) สำหรับภาษาอังกฤษ,"ไม่ปรากฏปีที่พิมพ์, ม.ป.ป., n.d., บรรณานุกรม","ไม่มีปีพิมพ์, ไม่บอกปีพิมพ์, ใส่ มปป",บทที่ 3 หน้า 25
198,การพิมพ์บรรณานุกรม หลังเครื่องหมายจุด (.) ต้องเว้นกี่เคาะ,ต้องเว้น 2 เคาะครับ ยกเว้นชื่อย่อผู้แต่งภาษาอังกฤษให้เว้น 1 เคาะ,"บรรณานุกรม, เครื่องหมายจุด, เว้นวรรค, 2 เคาะ","เคาะสเปซบาร์, หลังจุดเว้นกี่เคาะ, พิมพ์บรรณานุกรม",บทที่ 3 หน้า 25
199,ถ้าอ้างอิงในเนื้อหาแบบตัวเลข [1] เวลาเขียนบรรณานุกรมท้ายเล่มต้องเรียงยังไง,ให้เรียงตามลำดับหมายเลขที่อ้างถึงในเนื้อหาเลยครับ โดยพิมพ์หมายเลขชิดขอบซ้าย ไม่ต้องใส่วงเล็บสี่เหลี่ยมแล้ว,"อ้างอิงแบบตัวเลข, บรรณานุกรม, เรียงลำดับ, เอกสารอ้างอิง","อ้างอิงตัวเลข, เรียงบรรณานุกรมยังไง, ใส่เลขไหม",บทที่ 3 หน้า 27
200,ผู้แต่งที่เป็นหน่วยงานราชการ เช่น กรม กระทรวง เขียนในบรรณานุกรมยังไง,"ให้ลงชื่อหน่วยงาน คั่นด้วยเครื่องหมายจุลภาค (,) แล้วตามด้วยฐานะของหน่วยงาน เช่น พัฒนาและส่งเสริมพลังงาน, กรม. ","บรรณานุกรม, นิติบุคคล, หน่วยงานราชการ, กรม, กระทรวง","อ้างอิงหน่วยงาน, ชื่อกรม, อ้างอิงกระทรวง",บทที่ 3 หน้า 30
201,อ้างอิงข้อมูลจากเว็บไซต์หรืออินเทอร์เน็ต ต้องใส่วันที่ค้นข้อมูลด้วยไหมคะ,ต้องใส่ด้วยครับ โดยระบุคำว่า [สืบค้นวันที่ เดือน ปี] หรือ [cited Year Month Date] ไว้หน้า URL ,"อ้างอิงเว็บไซต์, อินเทอร์เน็ต, วันที่สืบค้น, URL","อ้างอิงเว็บ, ใส่เว็บยังไง, วันที่ค้นหา",บทที่ 3 หน้า 40
202,ภาคผนวก ถ้าในเล่มมีแค่ภาคเดียว พิมพ์ชื่อยังไงคะ,"ให้พิมพ์คำว่า ""ภาคผนวก ก"" หรือ ""APPENDIX A"" อยู่กลางหน้ากระดาษ","ภาคผนวก, ภาคเดียว, ภาคผนวก ก, APPENDIX A","ภาคผนวกเดียว, พิมพ์ภาคผนวกยังไง, ภาคผนวก 1",บทที่ 3 หน้า 64
203,ถ้ามีภาคผนวกหลายเรื่อง ต้องแบ่งยังไง,"ให้ใช้เป็น ภาคผนวก ก, ภาคผนวก ข เรียงไปเรื่อยๆ ตามลำดับ และต้องขึ้นหน้าใหม่เมื่อขึ้นภาคผนวกใหม่เสมอ","ภาคผนวกหลายภาค, ภาคผนวก ข, ขึ้นหน้าใหม่","มีหลายภาคผนวก, แบ่งภาคผนวก, ภาคผนวก ค",บทที่ 3 หน้า 64
204,ใบรับรองวิทยานิพนธ์ กรรมการสอบต้องใช้ปากกาสีอะไรเซ็นชื่อ,ต้องลงลายมือชื่อจริงด้วยปากกาหมึกสีดำเท่านั้น,"ใบรับรองวิทยานิพนธ์, เซ็นชื่อ, ปากกาสีดำ, หมึกดำ","เซ็นใบรับรอง, ลายเซ็น, ปากกาน้ำเงินได้ไหม",บทที่ 3 หน้า 64
205,สันปกวิทยานิพนธ์ฉบับสมบูรณ์ ต้องพิมพ์ข้อความอะไรบ้าง,พิมพ์ชื่อผู้แต่ง และปีการศึกษาที่สำเร็จการศึกษา,"สันปก, วิทยานิพนธ์ฉบับสมบูรณ์, ข้อความสันปก","สันเล่ม, พิมพ์สันปก, เขียนอะไรที่สัน",บทที่ 2 หน้า 8
206,การพิมพ์เนื้อหาวิทยานิพนธ์ปกติ ต้องเว้นระยะระหว่างบรรทัดเท่าไหร่คะ,ให้เว้น 1 บรรทัด (Single Line Spacing) เป็นแบบเดียวกันตลอดทั้งเล่ม,"เว้นระยะระหว่างบรรทัด, Single Line Spacing, 1 บรรทัด","ระยะบรรทัด, บรรทัดห่างเท่าไหร่, เว้นบรรทัด",บทที่ 3 หน้า 16
207,การย่อหน้าในเนื้อหาปกติ ต้องเว้นระยะเข้ามาเท่าไหร่,ให้เว้นระยะจากกรอบพิมพ์ด้านซ้ายมือเข้ามา 1 เซนติเมตร (0.39 นิ้ว) ,"ย่อหน้า, ระยะย่อหน้า, 1 เซนติเมตร, กรอบพิมพ์","เคาะย่อหน้า, แท็บย่อหน้า, ย่อหน้ากี่เซน",บทที่ 3 หน้า 16
208,ถ้าพิมพ์มาถึงบรรทัดสุดท้ายของหน้ากระดาษแล้ว แต่ยังไม่จบย่อหน้า ทำยังไง,ถ้าเหลืออีกเพียงบรรทัดเดียวจะจบย่อหน้า ให้พิมพ์ต่อไปในหน้าเดิมจนจบ แล้วค่อยขึ้นย่อหน้าใหม่ในหน้าถัดไป,"บรรทัดสุดท้าย, ขึ้นหน้าใหม่, จบย่อหน้า","บรรทัดล้น, ตกหน้า, หน้าเต็ม",บทที่ 3 หน้า 18
209,คำศัพท์ภาษาอังกฤษที่ใส่วงเล็บในเนื้อหาภาษาไทย ต้องพิมพ์ตัวพิมพ์ใหญ่หรือเล็ก,ควรขึ้นต้นด้วยตัวพิมพ์ใหญ่ (Capital Letters) ตามด้วยตัวพิมพ์เล็กครับ เช่น (Variance Analysis),"คำศัพท์ภาษาอังกฤษ, วงเล็บภาษาอังกฤษ, ตัวพิมพ์ใหญ่, ตัวพิมพ์เล็ก","ศัพท์อิ้ง, พิมพ์ใหญ่พิมพ์เล็ก, ตัวพิมพ์",บทที่ 3 หน้า 18
